log_id,brigade_id,log_date,shift_start_time,shift_end_time,start_depth_m,end_depth_m,drilled_depth_m,weather,logistics_issue
61,BRIGADE_02,2023-01-04,2023-01-04 13:30:00,2023-01-04 22:51:11.325541,389.17,420.8,31.64,Rainy,False
62,BRIGADE_02,2023-01-04,2023-01-04 22:34:00,2023-01-05 09:48:59.317839,242.59,335.19,92.6,Cloudy,False
63,BRIGADE_03,2023-01-04,2023-01-04 04:58:00,2023-01-04 13:20:29.696101,317.09,405.81,88.72,Cloudy,False
64,BRIGADE_03,2023-01-04,2023-01-04 12:23:00,2023-01-04 21:30:05.295950,186.23,203.25,17.02,Sunny,False
65,BRIGADE_04,2023-01-04,2023-01-04 17:22:00,2023-01-05 02:29:39.856210,376.73,436.28,59.55,Windy,True
66,BRIGADE_05,2023-01-04,2023-01-04 21:10:00,2023-01-05 03:14:13.054173,79.17,133.32,54.14,Windy,False
67,BRIGADE_05,2023-01-04,2023-01-04 01:50:00,2023-01-04 09:25:07.680415,34.15,72.36,38.21,Snowy,False
68,BRIGADE_06,2023-01-04,2023-01-04 05:06:00,2023-01-04 14:57:39.669644,230.03,328.96,98.92,Rainy,False
69,BRIGADE_07,2023-01-04,2023-01-04 00:02:00,2023-01-04 10:55:49.346691,175.46,262.7,87.24,Snowy,False
70,BRIGADE_07,2023-01-04,2023-01-04 13:33:00,2023-01-04 20:03:55.554423,149.72,196.63,46.92,Rainy,True
71,BRIGADE_08,2023-01-04,2023-01-04 20:29:00,2023-01-05 04:45:35.552481,387.43,458.67,71.24,Rainy,False
72,BRIGADE_09,2023-01-04,2023-01-04 22:50:00,2023-01-05 07:02:59.785547,416.45,428.31,11.86,Snowy,False
73,BRIGADE_09,2023-01-04,2023-01-04 23:33:00,2023-01-05 08:26:18.968547,261.18,275.61,14.43,Rainy,True
74,BRIGADE_10,2023-01-04,2023-01-04 13:18:00,2023-01-04 19:24:06.124378,256.56,305.3,48.74,Snowy,False
75,BRIGADE_10,2023-01-04,2023-01-04 05:39:00,2023-01-04 14:22:11.547721,59.08,152.57,93.5,Snowy,False
76,BRIGADE_10,2023-01-04,2023-01-04 03:32:00,2023-01-04 15:02:40.740014,25.63,90.6,64.97,Sunny,False
77,BRIGADE_01,2023-01-05,2023-01-05 02:02:00,2023-01-05 09:07:24.185696,64.65,131.32,66.67,Windy,False
78,BRIGADE_01,2023-01-05,2023-01-05 10:58:00,2023-01-05 17:18:23.724236,465.72,521.65,55.93,Sunny,False
79,BRIGADE_01,2023-01-05,2023-01-05 23:35:00,2023-01-06 07:00:44.800488,440.53,453.74,13.21,Sunny,False
80,BRIGADE_02,2023-01-05,2023-01-05 11:29:00,2023-01-05 22:25:38.144868,466.45,563.29,96.84,Rainy,False
81,BRIGADE_02,2023-01-05,2023-01-05 11:23:00,2023-01-05 18:09:51.500961,352.22,443.24,91.02,Sunny,False
82,BRIGADE_03,2023-01-05,2023-01-05 01:03:00,2023-01-05 09:27:43.400455,421.65,493.6,71.95,Windy,False
83,BRIGADE_03,2023-01-05,2023-01-05 11:43:00,2023-01-05 22:23:46.679646,368.5,428.01,59.51,Sunny,False
84,BRIGADE_04,2023-01-05,2023-01-05 04:23:00,2023-01-05 13:55:10.482093,156.48,196.86,40.38,Snowy,False
85,BRIGADE_04,2023-01-05,2023-01-05 23:02:00,2023-01-06 06:17:28.422204,277.85,351.72,73.86,Sunny,True
86,BRIGADE_05,2023-01-05,2023-01-05 13:18:00,2023-01-05 22:50:15.977495,397.22,495.84,98.62,Windy,False
87,BRIGADE_05,2023-01-05,2023-01-05 04:47:00,2023-01-05 11:20:28.891910,221.8,315.65,93.86,Rainy,False
88,BRIGADE_05,2023-01-05,2023-01-05 01:35:00,2023-01-05 13:22:24.441313,43.32,67.57,24.25,Snowy,False
89,BRIGADE_06,2023-01-05,2023-01-05 19:49:00,2023-01-06 06:34:09.572482,442.22,476.0,33.79,Windy,True
90,BRIGADE_07,2023-01-05,2023-01-05 03:38:00,2023-01-05 13:48:12.327769,172.06,240.4,68.34,Snowy,False
91,BRIGADE_07,2023-01-05,2023-01-05 07:09:00,2023-01-05 14:02:12.140286,343.16,409.21,66.05,Sunny,False
92,BRIGADE_07,2023-01-05,2023-01-05 05:07:00,2023-01-05 15:29:43.882766,313.23,351.23,38.0,Sunny,False
93,BRIGADE_08,2023-01-05,2023-01-05 04:06:00,2023-01-05 13:14:42.217860,474.2,561.84,87.64,Windy,False
94,BRIGADE_09,2023-01-05,2023-01-05 23:18:00,2023-01-06 10:24:43.470526,310.42,377.47,67.05,Rainy,False
95,BRIGADE_10,2023-01-05,2023-01-05 09:25:00,2023-01-05 19:36:22.389901,374.83,455.95,81.12,Rainy,False
96,BRIGADE_01,2023-01-06,2023-01-06 10:39:00,2023-01-06 21:16:52.714363,29.49,62.38,32.89,Rainy,False
97,BRIGADE_02,2023-01-06,2023-01-06 07:45:00,2023-01-06 16:34:53.287525,26.73,66.22,39.48,Sunny,True
98,BRIGADE_02,2023-01-06,2023-01-06 07:02:00,2023-01-06 16:03:36.396180,454.05,516.51,62.46,Sunny,False
99,BRIGADE_03,2023-01-06,2023-01-06 23:27:00,2023-01-07 08:00:22.153841,216.38,275.25,58.88,Cloudy,False
100,BRIGADE_03,2023-01-06,2023-01-06 19:24:00,2023-01-07 03:34:42.723203,467.74,551.14,83.39,Windy,False
101,BRIGADE_04,2023-01-06,2023-01-06 13:03:00,2023-01-07 00:04:38.924784,200.43,267.43,67.0,Windy,True
102,BRIGADE_05,2023-01-06,2023-01-06 13:26:00,2023-01-06 20:51:32.373807,341.6,416.15,74.54,Rainy,False
103,BRIGADE_05,2023-01-06,2023-01-06 15:58:00,2023-01-06 22:38:56.897207,103.62,124.89,21.27,Rainy,False
104,BRIGADE_06,2023-01-06,2023-01-06 16:28:00,2023-01-07 02:58:41.231824,348.97,446.35,97.38,Sunny,False
105,BRIGADE_06,2023-01-06,2023-01-06 19:32:00,2023-01-07 06:40:25.729899,456.11,512.1,55.98,Snowy,True
106,BRIGADE_06,2023-01-06,2023-01-06 18:30:00,2023-01-07 05:02:03.917314,403.46,495.13,91.67,Cloudy,False
107,BRIGADE_07,2023-01-06,2023-01-06 02:40:00,2023-01-06 09:02:05.052996,353.57,418.23,64.67,Windy,False
108,BRIGADE_08,2023-01-06,2023-01-06 10:11:00,2023-01-06 19:03:58.657421,45.47,117.42,71.95,Sunny,False
109,BRIGADE_09,2023-01-06,2023-01-06 22:51:00,2023-01-07 06:32:20.053182,309.71,368.94,59.23,Snowy,False
110,BRIGADE_10,2023-01-06,2023-01-06 23:14:00,2023-01-07 05:53:44.062766,169.42,215.06,45.64,Snowy,False
111,BRIGADE_01,2023-01-07,2023-01-07 14:30:00,2023-01-08 01:34:08.378123,490.07,541.51,51.45,Rainy,False
112,BRIGADE_02,2023-01-07,2023-01-07 21:12:00,2023-01-08 06:31:10.386775,261.05,328.03,66.98,Windy,False
113,BRIGADE_02,2023-01-07,2023-01-07 00:14:00,2023-01-07 08:43:08.558552,23.17,90.6,67.44,Cloudy,False
114,BRIGADE_02,2023-01-07,2023-01-07 20:41:00,2023-01-08 07:53:00.871010,157.52,221.68,64.16,Rainy,False
115,BRIGADE_03,2023-01-07,2023-01-07 06:26:00,2023-01-07 14:25:25.026228,343.71,367.72,24.01,Windy,False
116,BRIGADE_03,2023-01-07,2023-01-07 01:18:00,2023-01-07 08:48:07.993867,206.43,285.12,78.69,Cloudy,False
117,BRIGADE_03,2023-01-07,2023-01-07 00:05:00,2023-01-07 08:52:42.053754,385.18,459.78,74.6,Snowy,True
118,BRIGADE_04,2023-01-07,2023-01-07 16:34:00,2023-01-07 22:35:57.371831,119.24,153.83,34.6,Rainy,False
119,BRIGADE_04,2023-01-07,2023-01-07 02:48:00,2023-01-07 12:31:41.713604,492.44,523.38,30.93,Windy,False
120,BRIGADE_04,2023-01-07,2023-01-07 05:21:00,2023-01-07 17:13:43.151032,345.62,415.25,69.64,Sunny,True
121,BRIGADE_05,2023-01-07,2023-01-07 06:30:00,2023-01-07 15:52:06.149983,304.4,357.0,52.6,Snowy,False
122,BRIGADE_06,2023-01-07,2023-01-07 20:23:00,2023-01-08 06:01:23.625177,427.41,439.82,12.41,Snowy,False
123,BRIGADE_07,2023-01-07,2023-01-07 21:59:00,2023-01-08 05:57:26.226293,451.28,488.03,36.74,Cloudy,False
124,BRIGADE_08,2023-01-07,2023-01-07 08:55:00,2023-01-07 14:59:34.249643,58.15,105.95,47.8,Sunny,False
125,BRIGADE_08,2023-01-07,2023-01-07 17:16:00,2023-01-08 00:06:30.593385,390.36,455.56,65.2,Windy,False
126,BRIGADE_08,2023-01-07,2023-01-07 15:33:00,2023-01-07 22:21:05.249185,161.29,242.16,80.86,Cloudy,False
127,BRIGADE_09,2023-01-07,2023-01-07 02:34:00,2023-01-07 10:03:17.706541,145.32,224.45,79.13,Windy,False
128,BRIGADE_09,2023-01-07,2023-01-07 05:56:00,2023-01-07 14:18:25.181475,139.21,169.37,30.15,Sunny,False
129,BRIGADE_09,2023-01-07,2023-01-07 15:00:00,2023-01-07 23:45:06.133445,200.57,269.03,68.46,Cloudy,False
130,BRIGADE_10,2023-01-07,2023-01-07 10:44:00,2023-01-07 20:13:12.367588,303.93,359.22,55.3,Snowy,False
131,BRIGADE_10,2023-01-07,2023-01-07 05:53:00,2023-01-07 13:38:31.978125,372.77,413.52,40.75,Sunny,False
132,BRIGADE_01,2023-01-08,2023-01-08 02:50:00,2023-01-08 10:03:15.438592,397.04,440.6,43.56,Cloudy,False
133,BRIGADE_01,2023-01-08,2023-01-08 16:26:00,2023-01-09 01:59:45.495695,5.08,99.27,94.18,Windy,False
134,BRIGADE_01,2023-01-08,2023-01-08 03:05:00,2023-01-08 14:57:48.511946,432.18,493.92,61.74,Snowy,False
135,BRIGADE_02,2023-01-08,2023-01-08 02:05:00,2023-01-08 12:46:55.356598,298.68,361.4,62.71,Cloudy,False
136,BRIGADE_02,2023-01-08,2023-01-08 19:49:00,2023-01-09 01:50:51.006317,232.08,303.15,71.06,Rainy,False
137,BRIGADE_02,2023-01-08,2023-01-08 07:11:00,2023-01-08 16:44:43.103130,375.67,450.4,74.73,Cloudy,False
138,BRIGADE_03,2023-01-08,2023-01-08 12:54:00,2023-01-08 22:32:21.078920,351.77,394.56,42.79,Sunny,False
139,BRIGADE_03,2023-01-08,2023-01-08 03:59:00,2023-01-08 13:39:44.407466,230.29,269.41,39.12,Cloudy,False
140,BRIGADE_04,2023-01-08,2023-01-08 22:58:00,2023-01-09 09:36:15.969202,259.58,286.22,26.65,Cloudy,False
141,BRIGADE_05,2023-01-08,2023-01-08 03:50:00,2023-01-08 13:38:41.039090,107.49,169.66,62.16,Windy,False
142,BRIGADE_05,2023-01-08,2023-01-08 16:29:00,2023-01-09 03:49:00.041294,207.68,226.84,19.16,Sunny,False
143,BRIGADE_06,2023-01-08,2023-01-08 12:46:00,2023-01-09 00:20:26.989762,108.56,202.14,93.57,Sunny,False
144,BRIGADE_07,2023-01-08,2023-01-08 06:20:00,2023-01-08 16:46:58.160559,150.17,201.9,51.73,Cloudy,False
145,BRIGADE_07,2023-01-08,2023-01-08 21:51:00,2023-01-09 04:05:40.027418,465.8,537.86,72.06,Rainy,False
146,BRIGADE_08,2023-01-08,2023-01-08 01:20:00,2023-01-08 12:39:59.697277,135.38,191.39,56.01,Snowy,False
147,BRIGADE_08,2023-01-08,2023-01-08 10:47:00,2023-01-08 17:49:11.191579,106.9,125.42,18.52,Sunny,False
148,BRIGADE_08,2023-01-08,2023-01-08 00:23:00,2023-01-08 09:22:37.751033,41.8,77.08,35.28,Cloudy,False
149,BRIGADE_09,2023-01-08,2023-01-08 00:43:00,2023-01-08 10:54:21.914183,223.97,270.54,46.57,Sunny,False
150,BRIGADE_09,2023-01-08,2023-01-08 09:11:00,2023-01-08 15:21:02.994165,393.76,478.12,84.36,Windy,False
151,BRIGADE_10,2023-01-08,2023-01-08 14:02:00,2023-01-08 23:21:11.345418,422.73,443.59,20.86,Sunny,False
152,BRIGADE_10,2023-01-08,2023-01-08 13:25:00,2023-01-08 22:43:57.519255,99.99,129.17,29.18,Sunny,False
153,BRIGADE_01,2023-01-09,2023-01-09 16:32:00,2023-01-10 02:37:44.438969,427.95,469.48,41.53,Cloudy,False
154,BRIGADE_01,2023-01-09,2023-01-09 07:04:00,2023-01-09 18:16:36.640402,432.69,459.86,27.17,Rainy,False
155,BRIGADE_01,2023-01-09,2023-01-09 18:43:00,2023-01-10 03:27:53.043391,43.05,79.6,36.55,Snowy,False
156,BRIGADE_02,2023-01-09,2023-01-09 01:48:00,2023-01-09 07:48:32.853078,136.38,212.8,76.42,Snowy,False
157,BRIGADE_02,2023-01-09,2023-01-09 18:44:00,2023-01-10 05:57:42.270470,104.69,116.69,12.0,Windy,False
158,BRIGADE_02,2023-01-09,2023-01-09 15:19:00,2023-01-10 01:41:34.754274,217.07,248.08,31.01,Snowy,False
159,BRIGADE_03,2023-01-09,2023-01-09 19:25:00,2023-01-10 05:04:03.608149,55.98,73.35,17.37,Rainy,False
160,BRIGADE_04,2023-01-09,2023-01-09 04:33:00,2023-01-09 16:12:03.597515,87.99,114.68,26.69,Cloudy,False
161,BRIGADE_04,2023-01-09,2023-01-09 19:43:00,2023-01-10 07:28:45.929936,163.78,201.31,37.54,Snowy,False
162,BRIGADE_05,2023-01-09,2023-01-09 01:44:00,2023-01-09 11:14:27.215965,154.66,175.78,21.12,Sunny,False
163,BRIGADE_06,2023-01-09,2023-01-09 02:36:00,2023-01-09 09:44:20.397184,73.1,168.05,94.95,Rainy,False
164,BRIGADE_07,2023-01-09,2023-01-09 19:08:00,2023-01-10 06:32:03.678709,156.56,241.23,84.67,Snowy,False
165,BRIGADE_07,2023-01-09,2023-01-09 03:12:00,2023-01-09 12:40:31.367919,373.26,456.44,83.18,Windy,False
166,BRIGADE_08,2023-01-09,2023-01-09 00:21:00,2023-01-09 09:39:06.109846,252.18,344.78,92.6,Sunny,False
167,BRIGADE_08,2023-01-09,2023-01-09 17:30:00,2023-01-10 00:15:31.417139,179.29,271.91,92.62,Cloudy,False
168,BRIGADE_09,2023-01-09,2023-01-09 21:09:00,2023-01-10 05:32:24.420897,335.93,385.4,49.47,Snowy,False
169,BRIGADE_10,2023-01-09,2023-01-09 23:37:00,2023-01-10 08:28:57.484814,242.17,323.14,80.97,Rainy,False
170,BRIGADE_01,2023-01-10,2023-01-10 10:45:00,2023-01-10 19:53:58.027378,290.57,351.34,60.77,Snowy,False
171,BRIGADE_01,2023-01-10,2023-01-10 13:32:00,2023-01-11 01:20:20.778500,298.9,340.88,41.98,Rainy,False
172,BRIGADE_02,2023-01-10,2023-01-10 19:34:00,2023-01-11 05:44:31.094724,299.74,353.58,53.84,Cloudy,False
173,BRIGADE_03,2023-01-10,2023-01-10 06:38:00,2023-01-10 17:59:19.935690,401.24,452.78,51.54,Snowy,False
174,BRIGADE_04,2023-01-10,2023-01-10 20:25:00,2023-01-11 06:53:56.251058,147.48,229.19,81.72,Cloudy,False
175,BRIGADE_04,2023-01-10,2023-01-10 21:57:00,2023-01-11 04:12:01.769488,137.18,230.99,93.82,Sunny,False
176,BRIGADE_04,2023-01-10,2023-01-10 08:50:00,2023-01-10 16:35:20.663432,235.49,323.01,87.52,Sunny,False
177,BRIGADE_05,2023-01-10,2023-01-10 20:51:00,2023-01-11 04:39:24.759662,428.32,521.74,93.42,Snowy,False
178,BRIGADE_06,2023-01-10,2023-01-10 20:04:00,2023-01-11 03:47:03.729635,233.35,328.41,95.06,Rainy,False
179,BRIGADE_07,2023-01-10,2023-01-10 18:37:00,2023-01-11 06:36:39.329048,374.25,471.5,97.25,Cloudy,True
180,BRIGADE_07,2023-01-10,2023-01-10 18:23:00,2023-01-11 01:18:39.038330,192.81,212.04,19.24,Rainy,False
181,BRIGADE_07,2023-01-10,2023-01-10 02:21:00,2023-01-10 08:22:33.093365,65.39,100.38,34.99,Snowy,False
182,BRIGADE_08,2023-01-10,2023-01-10 22:33:00,2023-01-11 06:53:21.946193,185.84,235.55,49.7,Cloudy,False
183,BRIGADE_08,2023-01-10,2023-01-10 08:22:00,2023-01-10 15:43:38.902240,197.56,245.51,47.95,Snowy,False
184,BRIGADE_09,2023-01-10,2023-01-10 06:53:00,2023-01-10 18:22:53.476526,164.48,241.2,76.71,Snowy,True
185,BRIGADE_10,2023-01-10,2023-01-10 00:16:00,2023-01-10 07:50:56.059636,156.47,233.28,76.81,Cloudy,True
186,BRIGADE_01,2023-01-11,2023-01-11 03:03:00,2023-01-11 11:55:17.618894,417.73,497.75,80.02,Snowy,False
187,BRIGADE_02,2023-01-11,2023-01-11 04:15:00,2023-01-11 10:24:41.266658,277.02,289.61,12.58,Snowy,False
188,BRIGADE_02,2023-01-11,2023-01-11 13:47:00,2023-01-11 21:16:38.473329,134.53,196.96,62.43,Windy,False
189,BRIGADE_03,2023-01-11,2023-01-11 15:11:00,2023-01-11 22:09:06.990890,238.71,323.69,84.99,Rainy,False
190,BRIGADE_03,2023-01-11,2023-01-11 13:09:00,2023-01-11 22:57:17.262166,284.17,367.55,83.38,Snowy,False
191,BRIGADE_03,2023-01-11,2023-01-11 07:32:00,2023-01-11 17:30:10.464671,216.73,280.06,63.33,Windy,False
192,BRIGADE_04,2023-01-11,2023-01-11 19:43:00,2023-01-12 05:36:09.134672,149.66,188.93,39.27,Windy,True
193,BRIGADE_05,2023-01-11,2023-01-11 17:20:00,2023-01-12 03:20:42.889273,156.31,183.02,26.71,Sunny,False
194,BRIGADE_06,2023-01-11,2023-01-11 06:33:00,2023-01-11 16:54:56.004213,183.15,280.17,97.02,Rainy,True
195,BRIGADE_06,2023-01-11,2023-01-11 17:30:00,2023-01-12 01:15:58.942914,381.98,418.85,36.87,Sunny,False
196,BRIGADE_07,2023-01-11,2023-01-11 20:40:00,2023-01-12 06:49:55.692090,33.76,91.0,57.25,Windy,False
197,BRIGADE_07,2023-01-11,2023-01-11 11:54:00,2023-01-11 23:44:26.429241,297.74,375.94,78.2,Snowy,False
198,BRIGADE_07,2023-01-11,2023-01-11 17:25:00,2023-01-12 01:12:42.437980,3.0,90.87,87.87,Sunny,False
199,BRIGADE_08,2023-01-11,2023-01-11 03:16:00,2023-01-11 14:25:05.971376,165.84,226.4,60.56,Cloudy,False
200,BRIGADE_08,2023-01-11,2023-01-11 20:38:00,2023-01-12 03:08:55.682639,448.23,538.02,89.79,Rainy,False
201,BRIGADE_09,2023-01-11,2023-01-11 02:20:00,2023-01-11 11:50:24.590764,53.11,123.39,70.28,Windy,False
202,BRIGADE_09,2023-01-11,2023-01-11 01:27:00,2023-01-11 13:03:52.038977,233.36,304.85,71.48,Sunny,False
203,BRIGADE_10,2023-01-11,2023-01-11 22:14:00,2023-01-12 06:22:17.146878,153.53,194.63,41.1,Rainy,False
204,BRIGADE_10,2023-01-11,2023-01-11 16:16:00,2023-01-12 03:51:35.167600,289.29,314.1,24.81,Sunny,False
205,BRIGADE_10,2023-01-11,2023-01-11 12:45:00,2023-01-11 19:48:40.655617,373.9,415.27,41.37,Rainy,False
206,BRIGADE_01,2023-01-12,2023-01-12 17:18:00,2023-01-13 04:51:02.519204,213.08,254.67,41.59,Rainy,False
207,BRIGADE_01,2023-01-12,2023-01-12 05:03:00,2023-01-12 13:20:48.893697,358.49,458.21,99.72,Cloudy,False
208,BRIGADE_02,2023-01-12,2023-01-12 14:30:00,2023-01-13 00:40:38.029286,211.38,280.32,68.94,Sunny,False
209,BRIGADE_02,2023-01-12,2023-01-12 00:36:00,2023-01-12 07:30:16.926723,462.77,553.8,91.03,Snowy,False
210,BRIGADE_02,2023-01-12,2023-01-12 15:48:00,2023-01-13 02:40:48.680188,119.14,177.88,58.74,Sunny,True
